strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country,set_divergent,set_1,set_2,set_3,set_4,set_5,set_6,set_7
JU3228,1,JU3228,NaNZ10.1,,,20180413,JU,,,,-39.02256,175.71458,Rural garden,Leaf litter,Phormium leaves,,,,,NA,M.-A. Félix,N. Pujol,2017-04-05,No day information,"Isolated from rotting Phormium leaves sampled in April 2017 by N. Pujol in Opotaka, Te Ponanga Saddle Rd, Otukou, New Zealand. -39.02256, 175.71458",Waikato,New Zealand,,,,,,,TRUE,
JU323,1,JU323,D3.1,1,,20160408,JU,,,,44.42,4.4,Rural garden,NA,NA,,,,,NA,M.-A. Félix,M.-A. Félix,2002-09-08,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #3 on the trunk of a mulberry tree (not the same snail as JU322).",Rhone-Alpes,France,,TRUE,,,,,,
JU3271,0,JU1793,S409.2,,,20180413,JU,,,,49.11,1.93,Rural garden,Rotting fruit,plums,,,,,NA,M.-A. Félix,M.-A. Félix and E. Troemel,NA,No date provided,"from rotting plums next to Le Perchay, Val d’Oise",Île-de-France,France,,,,,,,,
JU3280,1,JU3280,CZ22.2,,,20180413,JU,,,,50.07182,14.42333,Botanical garden zoo,Compost,"leaves,walnuts and horse chestnuts",,,,,NA,M.-A. Félix,M.-A. Félix,2017-09-24,,"Isolated from compost heap with leaves,walnuts and horse chestnuts sampled by MAF in the Botanical Garden of the University of Prague, Czech Republic",Prague,Czechia,,,,,,,,TRUE
JU3282,1,JU3282,CZ24.2,,,20180413,JU,,,,50.0711,14.42028,Botanical garden zoo,Rotting fruit,banana and Strelitzia stems,,,,,NA,M.-A. Félix,M.-A. Félix,2017-09-24,,"Isolated from rotting banana and Strelitzia stems sampled by MAF in the greenhouse Botanical Garden of the University of Prague, Czech Republic",Hlavní město Praha,Czechia,,,,,,,TRUE,
JU3291,1,JU3291,ZT051,,,20180413,JU,,,,48.7679,2.70719,Forest,Rotting stem,Petasites,,,,,NA,R. Luallen,M.-A. Félix,2017-10-08,NA,"Forest of Armainvilliers, France",Île-de-France,France,,,,,,,TRUE,
JU342,0,JU323,D4.1,0,,20160408,JU,,,,44.42,4.4,Rural garden,Snail,"live mollusks, snail",,,,,NA,M.-A. Félix,M.-A. Félix,2002-09-08,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from the snail tube (mulberry tree).",Rhone-Alpes,France,,,,,,,,
JU345,0,JU346,G1.3,1,,20170531,JU,,,,44.42,4.4,Rural garden,Millipede,"live arthropod, Glomeris",,,,,NA,M.-A. Félix,M.-A. Félix,2002-09-08,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU343, JU344, JU346).",Rhone-Alpes,France,,,,,,,,
JU346,1,JU346,G1.5,1,,20160408,JU,,,,44.42,4.4,Rural garden,Isopod,"live arthropod, Glomeris",,,,,NA,M.-A. Félix,M.-A. Félix,2002-09-08,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU342, JU343, JU344).",Languedoc-Roussillon,France,,TRUE,,,,,,
JU347,0,JU323,C1.1,0,,20160408,JU,,,,44.42,4.4,Rural garden,Snail,"live mollusks, snail",,,,,NA,M.-A. Félix,M.-A. Félix,2002-09-08,NA,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Pomatias elegans (?) snail, under the mulberry tree.",Auvergne-Rhône-Alpes,France,,,,,,,,
JU360,1,JU360,PB1.2,1,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,TRUE,,,,,,
JU361,0,JU367,PB2.X,1,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU362,0,JU360,PB2.1,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU363,0,JU360,PB1.1,1,,20160408,CGC,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU364,0,JU360,PB2.3,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU366,0,JU360,PB4.1,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU367,1,JU367,PB3.1,1,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,TRUE,,,,,
JU368,0,JU360,PB2.5,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU369,0,JU360,PB2.4,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU370,0,JU360,PB4.2,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU371,0,JU367,PA3.1,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,C. Pieau,2002-09-16,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",Île-de-France,France,,,,,,,,
JU393,1,JU393,HC1.2,1,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Basse-Normandie,France,,,TRUE,,,,,
JU394,1,JU394,HC2.1,1,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Basse-Normandie,France,,,TRUE,,,,,
JU395,0,JU792,HC2.3,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Normandie,France,,,,,,,,
JU396,0,JU792,HC2.4,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Lower Normandy,France,,,,,,,,
JU397,1,JU397,HC6.1,1,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Basse-Normandie,France,,,,TRUE,,,,
JU398,0,JU397,HC4.3,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Lower Normandy,France,,,,,,,,
JU399,0,JU394,HC3.1,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Lower Normandy,France,,,,,,,,
JU400,0,JU394,HC3.2,1,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Lower Normandy,France,,,,,,,,
JU401,0,JU397,HC4.4,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02.",Lower Normandy,France,,,,,,,,
JU402,0,JU397,HC5.1,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-09-01,Only month/year (Sep. 2002) known,"Hermanville (Calvados), France - compost pile, Sep 02",Normandie,France,,,,,,,,
JU406,1,JU406,compost4,1,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-12-30,NA,"Hermanville (Calvados), France - compost pile - isolated 30 Dec 02.",Basse-Normandie,France,,,TRUE,,,,,
JU407,0,JU406,compost5,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2002-12-30,NA,"Hermanville (Calvados), France - compost pile - isolated 30 Dec 02.",Normandie,France,,,,,,,,
JU438,0,JU310,NA,0,,20160408,JU,,,,49.28,-0.32,Rural garden,Compost,compost heap,,,,,NA,A. Barrière,A. Barrière,2003-06-01,NA,"Isolated on the 01 June 03 at Hermanville (Calvados), France - soil near a snail, in the garden.",Lower Normandy,France,,,,,,,,
JU440,1,JU440,NA,1,,20160408,JU,,,,48.715,1.56,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,D. Baïlle,2003-09-12,NA,"From Beauchêne (Eure & Loir -France) in the compost pile, 12 Sep 03.",Centre,France,,TRUE,,,,,,
JU531,0,JU1213,P4D6,0,,20160408,JU,,,,48.71,-3.81,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2004-10-03,NA,"Isolated from compost heap in Primel-Trégastel (Finistère, France), 03 Oct 04. Picked as adult on 6 Oct 04.",Brittany,France,,,,,,,,
JU533,0,JU1213,P4D8,1,,20160408,JU,,,,48.71,-3.81,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2004-10-03,NA,"Isolated from compost heap in Primel-Trégastel (Finistère, France), 03 Oct 04. Picked as adult on 6 Oct 04.",Brittany,France,,,,,,,,
JU561,1,JU561,P9cl1,1,,20160408,JU,,,,48.71,-3.81,Rural garden,Isopod,"live arthropod, isopod",,,,,NA,M.-A. Félix,M.-A. Félix,2004-10-03,NA,"Isolated from a sowbug found in the tube of compost from Hent ar Rhun, Finistère, France, on 3 Oct O4. Picked on 4 Oct 04.",Bretagne,France,,,,TRUE,,,,
JU563,0,JU561,P9A7,0,,20160408,JU,,,,48.7069,-3.8037,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2004-10-03,NA,Isolated on the street Hent ar Rhun,Brittany,France,,,,,,,,
JU622,0,JU792,Pyr2.1,0,,20160408,JU,,,,43.06,0.24,Rural garden,Leaf litter,leaf litter brought by Franz Back from his garden,,,,,NA,M.-A. Félix,F. Back,2004-10-16,NA,Some sterility,Midi-Pyrénées,France,,,,,,,,
JU642,1,JU642,NA,1,,20160408,JU,,,,48.84,2.5,Urban garden,Compost,compost heap in Jean-Antoine Lepesant’s garden,,,,,NA,M.-A. Félix,J.-A. Lepesant,2004-12-14,NA,NA,Île-de-France,France,,,,TRUE,,,,
JU692,0,JU367,CP4.2,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,Compost heap in Claude Pieau’s garden,,,,,NA,M.-A. Félix,C. Pieau,2005-04-06,NA,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 06 Apr 05",Île-de-France,France,,,,,,,,
JU693,0,JU367,CP8.1,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,Compost heap in Claude Pieau’s garden,,,,,NA,M.-A. Félix,C. Pieau,2005-04-06,NA,NA,Île-de-France,France,,,,,,,,
JU694,0,JU367,CP10.1,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,Compost heap in Claude Pieau’s garden,,,,,NA,M.-A. Félix,C. Pieau,2005-04-06,NA,NA ,Île-de-France,France,,,,,,,,
JU751,1,JU751,JA VI 2.1,1,,20160408,JU,,,,48.84,2.5,Urban garden,Compost,compost heap in Jean-Antoine Lepesant’s garden,,,,,NA,M.-A. Félix,J.-A. Lepesant,2005-06-08,NA,NA,Île-de-France,France,,,,TRUE,,,,
JU774,1,JU774,P6P2,1,,20160408,JU,,,,38.683,-9.34,Urban garden,Compost,garden garbage left on pavement,,,,,NA,M.-A. Félix,M.-A. Félix,2005-07-10,NA,NA,Lisbon,Portugal,,TRUE,,,,,,
JU775,1,JU775,P8D1,1,,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,red fruits rottening on the ground below a tree ,,,,,NA,M.-A. Félix,M.-A. Félix,2005-07-10,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal,TRUE,,,,,,,
JU778,1,JU778,P12B4,1,,20160408,JU,,,,38.719,-9.1491,Botanical garden zoo,Rotting fruit, fruits rottening on the ground below a Ficus isophlebia tree ,,,,,NA,M.-A. Félix,M.-A. Félix,2005-07-10,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal,,,TRUE,,,,,
JU782,1,JU782,P14D1,1,,20160408,JU,,,,38.7191,-9.1503,Botanical garden zoo,Compost,compost heap at the top of the garden,,,,,NA,M.-A. Félix,M.-A. Félix,2005-07-10,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal,,,,TRUE,,,,
JU792,1,JU792,F2A1,1,,20160408,JU,,,,43.06,0.24,Rural garden,Compost,compost heap  at the bottom of a garden ,,,,,NA,M.-A. Félix,M.-A. Félix,2005-08-31,NA,NA,Midi-Pyrénées,France,,,TRUE,,,,,
JU799,0,JU775,P8L3,0,,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,red fruits rottening on the ground beneath a tree ,,,,,NA,M.-A. Félix,M.-A. Félix,2005-07-10,NA,"Isolated in the Botanical Garden, Lisbon, Portugal",Lisbon,Portugal,,,,,,,,
JU801,0,JU360,E1.2,0,,20160408,JU,,,,48.98,2.23,Urban garden,Compost,Franconville compost heap,,,,,NA,A. Barrière,C. Pieau,2005-07-19,NA,NA,Île-de-France,France,,,,,,,,
JU829,0,JU830,T2A1,0,,20160408,JU,,,,48.52,9.05,Urban garden,Compost,Compost heap of Ray Hong,,,,,NA,M.-A. Félix,R. Hong,2005-09-28,NA,NA,Baden-Württemberg,Germany,,,,,,,,
JU830,1,JU830,T2A2,1,,20160408,JU,,,,48.52,9.05,Urban garden,Compost,Compost heap of Ray Hong,,,,,NA,M.-A. Félix,R. Hong,2005-09-28,NA,NA,Baden-Württemberg,Germany,,TRUE,,,,,,
JU847,1,JU847,O6A1,1,,20160408,JU,,,,48.46,7.461,Agricultural land,Compost,compost heap in vegetable gardens/vineyards,,,,,NA,M.-A. Félix,M.-A. Félix,2005-10-03,NA,"Plated 4 Oct, picked as adult on 4 Oct .",Alsace-Champagne-Ardenne-Lorraine,France,,,TRUE,,,,,
JU848,0,JU847,O6A5,0,,20160408,JU,,,,48.46,7.461,Agricultural land,Compost,compost heap in vegetable gardens/vineyards,,,,,NA,M.-A. Félix,M.-A. Félix,2005-10-03,NA,"Plated 4 Oct, picked as adult on 6 Oct .",Alsace-Champagne-Ardenne-Lorraine,France,,,,,,,,
KR314,1,KR314,NA,1,,20160408,CGC,,,,49.28,-123.13,Urban garden,Rotting fruit,decaying avocado,,,,,NA,F. Dill,F. Dill,1984-05-01,NA,NA,British Columbia,Canada,,TRUE,,,,,,
LKC34,1,LKC34,NA,1,,20160408,CGC,,,,-18,46,NA,Rotting nut,"rotting seed, Dypsis baronii",,,,,NA,V. Stowell,V. Stowell,2005-06-17,NA,NA,Antananarivo Province,Madagascar,TRUE,,,,,,,
LSJ1,1,LSJ1,NA,1,,20160408,CGC,,,,51.45,-2.59,Urban garden,Compost,mushroom compost,,,,,NA,W. Nicholas,W. Nicholas,1951-01-01,only year (1951) is known,"Clonally related to N2, Maintained by E.C. Dougherty in axenic media until frozen in 1969",England,United Kingdom,,,,TRUE,,,,
MY1,1,MY1,NA,1,,20160408,MY,,,,52.54,7.31,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,Niedersachsen,Germany,,TRUE,,,,,,
MY10,1,MY10,NA,1,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,Nordrhein-Westfalen,Germany,,,TRUE,,,,,
MY11,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY12,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY13,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY14,0,MY23,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY15,0,MY23,NA,0,,20160408,CGC,,,,51.93,7.57,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY16,1,MY16,NA,1,,20160408,CGC,,,,51.93,7.57,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,Nordrhein-Westfalen,Germany,TRUE,,,,,,,
MY17,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY18,1,MY18,NA,1,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,Nordrhein-Westfalen,Germany,,,TRUE,,,,,
MY19,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2,0,MY23,NA,1,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY20,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2001,0,MY2453,NA,,,20180413,MY,,,,51.950777,7.536628,Rural garden,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-06-20,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2004,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-06-20,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2011,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-07-04,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2014,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Slug,brown slug,,,,,NA,C. Petersen,C. Petersen,2012-07-04,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2022,0,RC301,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-07-04,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2024,0,RC301,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Slug,brown slug,,,,,NA,C. Petersen,C. Petersen,2012-07-04,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2042,0,MY920,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-07-18,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2050,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-07-18,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2051,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-07-18,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2054,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-07-18,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2078,0,RC301,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-08-01,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2097,0,MY920,NA,,,20180413,MY,,,,54.346355,10.117737,Botanical garden zoo,Slug,brown slug,,,,,NA,C. Petersen,C. Petersen,2012-08-15,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2099,0,MY795,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-08-15,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY21,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2109,0,MY2741,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-08-15,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2121,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-08-15,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2137,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-09-17,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2138,0,MY920,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Slug,brown slug,,,,,NA,C. Petersen,C. Petersen,2012-09-17,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2142,0,MY2573,NA,1,,20170531,MY,,,,51.950723,7.599099,Rural garden,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-09-17,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2143,0,MY2147,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-09-17,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2144,0,MY2573,NA,1,,20170531,MY,,,,51.950723,7.599099,Rural garden,Compost,rotting apple compost,,,,,NA,C. Petersen,C. Petersen,2012-09-17,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2147,1,MY2147,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-09-17,NA,NA,Schleswig-Holstein,Germany,,,,,,TRUE,,
MY2198,0,MY2573,NA,1,,20170531,MY,,,,51.950723,7.599099,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-09-26,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2199,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-09-26,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY22,0,MY10,NA,0,,20160408,CGC,,,,51.96,7.53,Urban garden,Compost,compost heap,,,,,NA,H. Schulenburg,H. Schulenburg,2002-07-01,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2208,0,MY2573,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-09-26,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2212,1,MY2212,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-09-26,NA,NA,Schleswig-Holstein,Germany,,,,,TRUE,,,
MY2224,0,MY2573,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-09-26,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2239,0,MY2573,NA,,,20180413,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,,,,,NA,C. Petersen,C. Petersen,2012-09-26,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2282,0,MY2573,NA,1,,20170531,MY,,,,51.950723,7.599099,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-10-10,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2288,0,MY2453,NA,1,,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-10-10,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
MY2291,0,RC301,NA,1,,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,,,,,NA,C. Petersen,C. Petersen,2012-10-10,NA,NA,Schleswig-Holstein,Germany,,,,,,,,
MY2294,0,MY2573,NA,1,,20170531,MY,,,,51.950723,7.599099,Rural garden,Compost,rotting apple compost,,,,,NA,C. Petersen,C. Petersen,2012-10-10,NA,NA,North Rhine-Westphalia,Germany,,,,,,,,
