N	eigenvalue	difference	twstat	p-value	effect.n
249	0.283254	-0.000698	-10.187	1	532.534
250	0.281564	-0.001690	-10.004	1	522.689
251	0.280097	-0.001467	-9.779	1	512.971
252	0.274058	-0.006039	-10.260	1	503.457
253	0.272483	-0.001575	-10.066	1	492.889
254	0.271117	-0.001366	-9.833	1	482.465
255	0.268817	-0.002300	-9.734	1	472.256
256	0.263659	-0.005158	-10.068	1	462.020
257	0.261569	-0.002091	-9.948	1	450.998
258	0.258540	-0.003028	-9.965	1	439.989
259	0.257917	-0.000624	-9.624	1	428.761
260	0.254885	-0.003032	-9.626	1	417.934
261	0.253918	-0.000966	-9.324	1	406.905
262	0.251071	-0.002847	-9.284	1	396.212
263	0.249887	-0.001184	-9.002	1	385.385
264	0.245823	-0.004064	-9.120	1	374.865
265	0.243359	-0.002465	-9.015	1	363.917
266	0.242794	-0.000565	-8.639	1	352.953
267	0.238198	-0.004596	-8.806	1	342.472
268	0.232889	-0.005309	-9.077	1	331.464
269	0.231584	-0.001304	-8.813	1	319.784
270	0.230438	-0.001147	-8.517	1	308.378
271	0.228665	-0.001773	-8.291	1	297.305
272	0.225274	-0.003391	-8.265	1	286.440
273	0.223908	-0.001366	-7.976	1	275.417
274	0.222247	-0.001661	-7.711	1	264.721
275	0.216935	-0.005312	-7.888	1	254.308
276	0.214043	-0.002892	-7.772	1	243.351
277	0.212136	-0.001908	-7.530	1	232.408
278	0.208251	-0.003885	-7.511	1	221.710
279	0.207502	-0.000749	-7.121	1	210.853
280	0.204320	-0.003181	-6.990	1	200.517
281	0.201982	-0.002338	-6.755	1	190.218
282	0.199807	-0.002175	-6.486	1	180.154
283	0.198921	-0.000887	-6.060	0.999998	170.389
284	0.189510	-0.009410	-6.514	1	161.246
285	0.187338	-0.002172	-6.235	0.999999	150.977
286	0.185228	-0.002110	-5.931	0.999996	141.041
287	0.179345	-0.005882	-5.979	0.999997	131.483
288	0.175643	-0.003702	-5.814	0.999993	121.649
289	0.174054	-0.001589	-5.436	0.999956	111.957
290	0.172625	-0.001429	-5.015	0.999738	102.791
291	0.169511	-0.003114	-4.706	0.999166	94.237
292	0.168626	-0.000885	-4.174	0.995368	86.075
293	0.160012	-0.008614	-4.227	0.996029	78.807
294	0.158213	-0.001799	-3.728	0.984763	71.103
295	0.153061	-0.005152	-3.425	0.969546	64.243
296	0.150594	-0.002468	-2.860	0.911787	57.773
