isotype long_id_threshold long_cluster_threshold long_coverage_threshold cov_threshold count_threshold cluster_threshold both short_only long_only accuracy accuracy_short
ECA36 95 9 60 0.3 12 12000 4087 1193 1068 0.643824826717076 0.77405303030303
ECA36 95 9 60 0.3 12 15000 3806 811 1349 0.637948374120013 0.824344812648906
ECA36 95 9 60 0.3 15 6000 4158 1661 997 0.610035211267606 0.714555765595463
ECA36 95 9 60 0.3 15 9000 4027 1061 1128 0.647844272844273 0.791470125786163
ECA36 95 9 60 0.3 15 12000 3860 739 1295 0.654903291482864 0.839312894107415
ECA36 95 9 60 0.3 15 15000 3585 488 1570 0.635300372142477 0.88018659464768
ECA36 95 9 60 0.3 18 6000 3998 1140 1157 0.635107227958697 0.778123783573375
ECA36 95 9 60 0.3 18 9000 3825 781 1330 0.644373315363881 0.830438558402084
ECA36 95 9 60 0.3 18 12000 3629 515 1526 0.640035273368607 0.875723938223938
ECA36 95 9 60 0.3 18 15000 3417 333 1738 0.622631195335277 0.9112
ECA36 95 9 60 0.3 21 6000 3763 773 1392 0.634784075573549 0.829585537918871
ECA36 95 9 60 0.3 21 9000 3573 460 1582 0.63633125556545 0.885940986858418
ECA36 95 9 60 0.3 21 12000 3356 313 1799 0.613752743233358 0.914690651403652
ECA36 95 9 60 0.3 21 15000 3171 248 1984 0.586896168795114 0.927464170810178
ECA36 95 9 60 0.35 9 6000 4411 3830 744 0.490929326655537 0.535250576386361
ECA36 95 9 60 0.35 9 9000 4362 2666 793 0.557729190640583 0.620660216277746
ECA36 95 9 60 0.35 9 12000 4251 1959 904 0.597554118639303 0.684541062801932
ECA36 95 9 60 0.35 9 15000 4081 1428 1074 0.619930123044205 0.740787801778907
ECA36 95 9 60 0.35 12 6000 4313 2647 842 0.552806972571136 0.619683908045977
ECA36 95 9 60 0.35 12 9000 4234 1756 921 0.612646505570829 0.706844741235392
ECA36 95 9 60 0.35 12 12000 4139 1290 1016 0.642203258339798 0.762387179959477
ECA36 95 9 60 0.35 12 15000 3871 934 1284 0.635736574150107 0.805619146722164
ECA36 95 9 60 0.35 15 6000 4194 1892 961 0.59514687100894 0.689122576404864
ECA36 95 9 60 0.35 15 9000 4076 1174 1079 0.644019592352662 0.776380952380952
ECA36 95 9 60 0.35 15 12000 3900 826 1255 0.652064872094967 0.825222175201016
ECA36 95 9 60 0.35 15 15000 3645 583 1510 0.635238759149529 0.862109744560076
ECA36 95 9 60 0.35 18 6000 4064 1350 1091 0.624750192159877 0.750646472109346
ECA36 95 9 60 0.35 18 9000 3926 874 1229 0.651185934649196 0.817916666666667
ECA36 95 9 60 0.35 18 12000 3718 598 1437 0.646271510516252 0.86144578313253
ECA36 95 9 60 0.35 18 15000 3514 422 1641 0.630087860857092 0.892784552845528
ECA36 95 9 60 0.35 21 6000 3864 969 1291 0.630960156760287 0.799503414028554
ECA36 95 9 60 0.35 21 9000 3723 569 1432 0.65041928721174 0.867427772600186
ECA36 95 9 60 0.35 21 12000 3461 378 1694 0.625519609615037 0.901536858556916
ECA36 95 9 60 0.35 21 15000 3249 273 1906 0.598563006632277 0.922487223168654
ECA36 95 9 60 0.4 9 6000 4457 4582 698 0.457738523159084 0.493085518309547
ECA36 95 9 60 0.4 9 9000 4401 3211 754 0.526057853215396 0.57816605359958
ECA36 95 9 60 0.4 9 12000 4286 2396 869 0.567606939478215 0.641424723136785
ECA36 95 9 60 0.4 9 15000 4118 1785 1037 0.593371757925072 0.697611384042013
ECA36 95 9 60 0.4 12 6000 4354 3176 801 0.522626335373905 0.578220451527224
ECA36 95 9 60 0.4 12 9000 4283 2195 872 0.582721088435374 0.66116085211485
ECA36 95 9 60 0.4 12 12000 4180 1621 975 0.616883116883117 0.720565419755215
ECA36 95 9 60 0.4 12 15000 3905 1144 1250 0.619939672963963 0.773420479302832
ECA36 95 9 60 0.4 15 6000 4269 2350 886 0.568820786142572 0.644961474542982
ECA36 95 9 60 0.4 15 9000 4199 1544 956 0.626809971637558 0.731150966393871
ECA36 95 9 60 0.4 15 12000 4007 1052 1148 0.645561462864508 0.792053765566317
ECA36 95 9 60 0.4 15 15000 3739 686 1416 0.640130114706386 0.844971751412429
ECA36 95 9 60 0.4 18 6000 4162 1693 993 0.607768691588785 0.710845431255337
ECA36 95 9 60 0.4 18 9000 4027 1137 1128 0.640019071837254 0.779821843532146
ECA36 95 9 60 0.4 18 12000 3786 751 1369 0.641043007111412 0.83447211813974
ECA36 95 9 60 0.4 18 15000 3567 493 1588 0.631550991501416 0.878571428571429
ECA36 95 9 60 0.4 21 6000 3969 1264 1186 0.618320610687023 0.758455952608446
ECA36 95 9 60 0.4 21 9000 3792 798 1363 0.636989753065681 0.826143790849673
ECA36 95 9 60 0.4 21 12000 3537 549 1618 0.620091164095372 0.865638766519824
ECA36 95 9 60 0.4 21 15000 3338 365 1817 0.604710144927536 0.901431271941669
ECA36 95 9 60 0.45 9 6000 4514 5910 641 0.407953004970628 0.433039140445127
ECA36 95 9 60 0.45 9 9000 4462 4241 693 0.474882928905917 0.512696771228312
ECA36 95 9 60 0.45 9 12000 4334 3180 821 0.51997600479904 0.576789992014906
ECA36 95 9 60 0.45 9 15000 4183 2451 972 0.549960557454641 0.630539644256859
ECA36 95 9 60 0.45 12 6000 4408 4079 747 0.477366255144033 0.519382585130199
ECA36 95 9 60 0.45 12 9000 4342 2943 813 0.536181773277352 0.59601921757035
ECA36 95 9 60 0.45 12 12000 4255 2187 900 0.579542359030237 0.660509158646383
ECA36 95 9 60 0.45 12 15000 4000 1688 1155 0.584538944907204 0.70323488045007
ECA36 95 9 60 0.45 15 6000 4336 3138 819 0.522850596888943 0.58014450093658
ECA36 95 9 60 0.45 15 9000 4263 2143 892 0.5841326390792 0.665469871995005
ECA36 95 9 60 0.45 15 12000 4121 1473 1034 0.621756185878093 0.736682159456561
ECA36 95 9 60 0.45 15 15000 3863 1131 1292 0.614540248170538 0.773528233880657
ECA36 95 9 60 0.45 18 6000 4254 2348 901 0.566973210715714 0.644350196910027
ECA36 95 9 60 0.45 18 9000 4126 1568 1029 0.613714115722148 0.724622409553916
ECA36 95 9 60 0.45 18 12000 3938 1082 1217 0.631393298059965 0.784462151394422
ECA36 95 9 60 0.45 18 15000 3706 790 1449 0.623380992430614 0.824288256227758
ECA36 95 9 60 0.45 21 6000 4068 1803 1087 0.584650761713136 0.692897291773122
ECA36 95 9 60 0.45 21 9000 3907 1219 1248 0.612958895513022 0.762192742879438
ECA36 95 9 60 0.45 21 12000 3698 869 1457 0.613877822045153 0.809721918108167
ECA36 95 9 60 0.45 21 15000 3486 635 1669 0.602072538860104 0.845911186605193
ECA396 95 9 60 0.25 9 6000 3610 2660 778 0.512202043132804 0.575757575757576
ECA396 95 9 60 0.25 9 9000 3481 1635 907 0.577951187116055 0.680414386239249
ECA396 95 9 60 0.25 9 12000 3354 1106 1034 0.610484164543138 0.752017937219731
ECA396 95 9 60 0.25 9 15000 3255 888 1133 0.616944655041698 0.785662563359884
ECA396 95 9 60 0.25 12 6000 3416 1834 972 0.549019607843137 0.650666666666667
ECA396 95 9 60 0.25 12 9000 3304 1124 1084 0.599419448476052 0.746160794941283
ECA396 95 9 60 0.25 12 12000 3150 782 1238 0.609284332688588 0.801119023397762
ECA396 95 9 60 0.25 12 15000 2989 591 1399 0.600321349668608 0.834916201117318
ECA396 95 9 60 0.25 15 6000 3220 1229 1168 0.573259747196012 0.723758147898404
ECA396 95 9 60 0.25 15 9000 3058 779 1330 0.591832784981614 0.796976804795413
ECA396 95 9 60 0.25 15 12000 2869 527 1519 0.583723296032553 0.844817432273263
ECA396 95 9 60 0.25 15 15000 2682 401 1706 0.560033409897682 0.869931884528057
ECA396 95 9 60 0.25 18 6000 3022 802 1366 0.582273603082852 0.790271966527197
ECA396 95 9 60 0.25 18 9000 2842 541 1546 0.576587543112193 0.840082766775052
ECA396 95 9 60 0.25 18 12000 2606 354 1782 0.549557148882328 0.880405405405405
